Age_range_Code,Household_type_code,Life_satisfaction,Isolation_score,Social_support_score,food_security_score,Housing_tenure_group_code,fuel-security_score,Income_Code,Lad_code_code,msoa_code_code,imd_decile,green_space_pct,park_distance_m
4,3,8,1,1,0,2,0,4,09000033,02000983,3,85.2,213.133031853658
4,1,7,1,1,0,4,0,5,09000024,02000696,4,89.5,243.86311741904728
11,3,7,2,2,5,4,0,1,09000017,02000503,9,98,535.9539143448269
7,4,10,0,2,0,5,1,2,09000003,02000055,7,63.9,337.56188405797104
13,1,9,0,2,0,4,0,5,09000006,02000165,9,95.19999999999999,1245.2675339738519
3,4,7,2,2,0,4,2,3,09000008,02000210,7,91.7,315.5258907226887
8,2,8,2,2,2,5,0,3,09000011,02006928,5,29.7,251.60226902138987
5,4,7,2,2,9,2,2,1,09000005,02000109,5,39.5,247.73715913358743
1,2,10,0,2,0,0,0,0,09000032,02000955,4,93.60000000000001,531.0199417391303
3,3,7,2,2,1,6,1,0,09000024,02000695,7,96.39999999999999,504.50828636274485
5,1,3,2,0,0,2,3,2,09000005,02000097,5,96.39999999999999,221.57354105813917
3,3,7,1,2,2,2,0,4,09000019,02000555,3,86.5,219.20242182051246
8,1,7,0,2,0,5,1,5,09000016,02000477,10,95.19999999999999,458.8173711066662
2,3,7,2,2,4,2,3,0,09000028,02000819,4,69.6,203.79246027083283
2,4,4,2,2,9,2,3,3,09000032,02000957,3,88,566.5553780136984
2,1,7,1,2,8,2,3,2,09000032,02000959,6,87.1,588.6223879411762
5,3,7,1,2,0,2,0,0,09000024,02000700,3,78.9,321.31118477519334
4,2,8,1,2,0,5,0,4,09000031,02000903,3,93.4,435.38314017948665
1,2,7,2,2,6,6,3,2,09000029,02000844,3,95.39999999999999,227.9297296999995
8,1,10,0,2,0,4,0,0,09000029,02006836,10,93.8,661.551796571426
4,1,7,2,2,0,2,0,3,09000014,02000416,3,68.5,249.69184725874078
6,4,7,2,2,4,2,2,3,09000022,02000633,2,84.89999999999999,238.6198735474858
4,4,7,2,2,3,2,1,3,09000032,02000933,5,86,562.9502549073165
5,2,2,2,0,0,6,1,0,09000031,02000922,3,93.4,205.8874095081962
3,1,8,0,2,0,5,0,5,09000021,02000606,6,71.39999999999999,310.67220333421733
3,1,8,1,2,0,5,0,5,09000012,02000352,3,75.8,208.14378627049157
7,1,6,2,2,0,2,0,3,09000021,02000605,9,94.69999999999999,1148.033597739725
3,2,5,2,2,4,2,2,0,09000028,02000815,2,41.5,100.44281440259726
3,1,7,2,1,9,1,4,1,09000025,02000744,2,89.4,407.03316102521
2,1,8,2,1,0,2,0,4,09000009,02000271,5,88,327.007414756944
3,3,9,0,2,5,2,5,3,09000021,02000610,6,77.9,703.5278201923073
11,4,6,2,1,3,3,1,1,09000022,02000621,5,40.1,248.0655072084937
4,1,8,1,2,1,2,0,4,09000022,02000619,3,56.99999999999999,129.15278931281992
